abandon,2,0,abandoned
abandon,2,1,abandoned
abandon,2,2,abandoned
abandon,2,3,abandoned
abandon,2,4,abandoned
abandon,16,0,abandoned
abandon,17,0,abandoning
abet,2,0,abetted
abet,2,1,abetted
abet,2,2,abetted
abet,2,3,abetted
abet,2,4,abetted
abet,16,0,abetted
abet,17,0,abetting
abhor,2,0,abhorred
abhor,2,1,abhorred
abhor,2,2,abhorred
abhor,2,3,abhorred
abhor,2,4,abhorred
abhor,16,0,abhorred
abhor,17,0,abhorring
abut,2,0,abutted
abut,2,1,abutted
abut,2,2,abutted
abut,2,3,abutted
abut,2,4,abutted
abut,16,0,abutted
abut,17,0,abutting
acquit,2,0,acquitted
acquit,2,1,acquitted
acquit,2,2,acquitted
acquit,2,3,acquitted
acquit,2,4,acquitted
acquit,16,0,acquitted
acquit,17,0,acquitting
administer,2,0,administered
administer,2,1,administered
administer,2,2,administered
administer,2,3,administered
administer,2,4,administered
administer,16,0,administered
administer,17,0,administering
admit,2,0,admitted
admit,2,1,admitted
admit,2,2,admitted
admit,2,3,admitted
admit,2,4,admitted
admit,16,0,admitted
admit,17,0,admitting
alight,2,0,alighted
alight,2,1,alighted
alight,2,2,alighted
alight,2,3,alighted
alight,2,4,alighted
alight,16,0,alighted
alight,2,0,alit
alight,2,1,alit
alight,2,2,alit
alight,2,3,alit
alight,2,4,alit
alight,16,0,alit
allot,2,0,allotted
allot,2,1,allotted
allot,2,2,allotted
allot,2,3,allotted
allot,2,4,allotted
allot,16,0,allotted
allot,17,0,allotting
alter,2,0,altered
alter,2,1,altered
alter,2,2,altered
alter,2,3,altered
alter,2,4,altered
alter,16,0,altered
alter,17,0,altering
anchor,2,0,anchored
anchor,2,1,anchored
anchor,2,2,anchored
anchor,2,3,anchored
anchor,2,4,anchored
anchor,16,0,anchored
anchor,17,0,anchoring
anger,2,0,angered
anger,2,1,angered
anger,2,2,angered
anger,2,3,angered
anger,2,4,angered
anger,16,0,angered
anger,17,0,angering
answer,2,0,answered
answer,2,1,answered
answer,2,2,answered
answer,2,3,answered
answer,2,4,answered
answer,16,0,answered
answer,17,0,answering
arise,16,0,arisen
armor,2,0,armored
armor,2,1,armored
armor,2,2,armored
armor,2,3,armored
armor,2,4,armored
armor,16,0,armored
armor,17,0,armoring
arise,2,0,arose
arise,2,1,arose
arise,2,2,arose
arise,2,3,arose
arise,2,4,arose
audit,2,0,audited
audit,2,1,audited
audit,2,2,audited
audit,2,3,audited
audit,2,4,audited
audit,16,0,audited
audit,17,0,auditing
author,2,0,authored
author,2,1,authored
author,2,2,authored
author,2,3,authored
author,2,4,authored
author,16,0,authored
author,17,0,authoring
awake,2,0,awoke
awake,2,1,awoke
awake,2,2,awoke
awake,2,3,awoke
awake,2,4,awoke
awake,16,0,awoken
awaken,2,0,awakened
awaken,2,1,awakened
awaken,2,2,awakened
awaken,2,3,awakened
awaken,2,4,awakened
awaken,16,0,awakened
awaken,17,0,awakening
eat,2,0,ate
eat,2,1,ate
eat,2,2,ate
eat,2,3,ate
eat,2,4,ate
babysit,2,0,babysat
babysit,2,1,babysat
babysit,2,2,babysat
babysit,2,3,babysat
babysit,2,4,babysat
babysit,16,0,babysat
babysit,17,0,babysitting
backorder,2,0,backordered
backorder,2,1,backordered
backorder,2,2,backordered
backorder,2,3,backordered
backorder,2,4,backordered
backorder,16,0,backordered
backorder,17,0,backordering
bid,2,0,bade
bid,2,1,bade
bid,2,2,bade
bid,2,3,bade
bid,2,4,bade
bag,2,0,bagged
bag,2,1,bagged
bag,2,2,bagged
bag,2,3,bagged
bag,2,4,bagged
bag,16,0,bagged
bag,17,0,bagging
banter,2,0,bantered
banter,2,1,bantered
banter,2,2,bantered
banter,2,3,bantered
banter,2,4,bantered
banter,16,0,bantered
banter,17,0,bantering
bar,2,0,barred
bar,2,1,barred
bar,2,2,barred
bar,2,3,barred
bar,2,4,barred
bar,16,0,barred
bar,17,0,barring
bat,2,0,batted
bat,2,1,batted
bat,2,2,batted
bat,2,3,batted
bat,2,4,batted
bat,16,0,batted
bat,17,0,batting
batter,2,0,battered
batter,2,1,battered
batter,2,2,battered
batter,2,3,battered
batter,2,4,battered
batter,16,0,battered
batter,17,0,battering
beat,2,0,beat
beat,2,1,beat
beat,2,2,beat
beat,2,3,beat
beat,2,4,beat
beat,16,0,beat
beat,16,0,beaten
become,2,0,became
become,2,1,became
become,2,2,became
become,2,3,became
become,2,4,became
beckon,2,0,beckoned
beckon,2,1,beckoned
beckon,2,2,beckoned
beckon,2,3,beckoned
beckon,2,4,beckoned
beckon,16,0,beckoned
beckon,17,0,beckoning
become,16,0,become
be,0,0,am
be,0,1,are
be,0,2,is
be,0,3,are
be,0,4,are
be,2,0,was
be,2,1,were
be,2,2,was
be,2,3,were
be,2,4,were
be,16,0,been
be,17,0,being
bed,2,0,bedded
bed,2,1,bedded
bed,2,2,bedded
bed,2,3,bedded
bed,2,4,bedded
bed,16,0,bedded
bed,17,0,bedding
befall,2,0,befell
befall,2,1,befell
befall,2,2,befell
befall,2,3,befell
befall,2,4,befell
befall,16,0,befallen
befit,2,0,befitted
befit,2,1,befitted
befit,2,2,befitted
befit,2,3,befitted
befit,2,4,befitted
befit,16,0,befitted
befit,17,0,befitting
beg,2,0,begged
beg,2,1,begged
beg,2,2,begged
beg,2,3,begged
beg,2,4,begged
beg,16,0,begged
beg,17,0,begging
begin,2,0,began
begin,2,1,began
begin,2,2,began
begin,2,3,began
begin,2,4,began
begin,16,0,begun
begin,17,0,beginning
beget,2,0,begat
beget,2,1,begat
beget,2,2,begat
beget,2,3,begat
beget,2,4,begat
beget,16,0,begotten
beget,17,0,begetting
behold,2,0,beheld
behold,2,1,beheld
behold,2,2,beheld
behold,2,3,beheld
behold,2,4,beheld
behold,16,0,beheld
benefit,2,0,benefitted
benefit,2,1,benefitted
benefit,2,2,benefitted
benefit,2,3,benefitted
benefit,2,4,benefitted
benefit,16,0,benefitted
benefit,17,0,benefitting
bend,2,0,bent
bend,2,1,bent
bend,2,2,bent
bend,2,3,bent
bend,2,4,bent
bend,16,0,bent
beset,2,0,beset
beset,2,1,beset
beset,2,2,beset
beset,2,3,beset
beset,2,4,beset
beset,16,0,beset
beset,17,0,besetting
bet,2,0,bet
bet,2,1,bet
bet,2,2,bet
bet,2,3,bet
bet,2,4,bet
bet,16,0,bet
bet,17,0,betting
betoken,2,0,betokened
betoken,2,1,betokened
betoken,2,2,betokened
betoken,2,3,betokened
betoken,2,4,betokened
betoken,16,0,betokened
betoken,17,0,betokening
betake,2,0,betook
betake,2,1,betook
betake,2,2,betook
betake,2,3,betook
betake,2,4,betook
betake,16,0,betaken
bewilder,2,0,bewildered
bewilder,2,1,bewildered
bewilder,2,2,bewildered
bewilder,2,3,bewildered
bewilder,2,4,bewildered
bewilder,16,0,bewildered
bewilder,17,0,bewildering
bid,2,0,bid
bid,2,1,bid
bid,2,2,bid
bid,2,3,bid
bid,2,4,bid
bid,16,0,bid
bid,16,0,bidden
bid,17,0,bidding
bite,2,0,bit
bite,2,1,bit
bite,2,2,bit
bite,2,3,bit
bite,2,4,bit
bite,16,0,bitten
blacken,2,0,blackened
blacken,2,1,blackened
blacken,2,2,blackened
blacken,2,3,blackened
blacken,2,4,blackened
blacken,16,0,blackened
blacken,17,0,blackening
bleed,2,0,bled
bleed,2,1,bled
bleed,2,2,bled
bleed,2,3,bled
bleed,2,4,bled
bleed,16,0,bled
blow,2,0,blew
blow,2,1,blew
blow,2,2,blew
blow,2,3,blew
blow,2,4,blew
blister,2,0,blistered
blister,2,1,blistered
blister,2,2,blistered
blister,2,3,blistered
blister,2,4,blistered
blister,16,0,blistered
blister,17,0,blistering
blot,2,0,blotted
blot,2,1,blotted
blot,2,2,blotted
blot,2,3,blotted
blot,2,4,blotted
blot,16,0,blotted
blot,17,0,blotting
blow,16,0,blown
blunder,2,0,blundered
blunder,2,1,blundered
blunder,2,2,blundered
blunder,2,3,blundered
blunder,2,4,blundered
blunder,16,0,blundered
blunder,17,0,blundering
blur,2,0,blurred
blur,2,1,blurred
blur,2,2,blurred
blur,2,3,blurred
blur,2,4,blurred
blur,16,0,blurred
blur,17,0,blurring
bluster,2,0,blustered
bluster,2,1,blustered
bluster,2,2,blustered
bluster,2,3,blustered
bluster,2,4,blustered
bluster,16,0,blustered
bluster,17,0,blustering
bog,2,0,bogged
bog,2,1,bogged
bog,2,2,bogged
bog,2,3,bogged
bog,2,4,bogged
bog,16,0,bogged
bog,17,0,bogging
bolster,2,0,bolstered
